year,reach,Nsamples,EF,catch_all,catch_100,catch_200,catch_300
1984, RM < 0,13,49494.00,1229.00,1224.00,851.00,620.00
1984, RM  0-10,1,1620.00,10.00,10.00,9.00,6.00
1984, RM 10-20,NA,NA,.00,.00,.00,.00
1984, RM 20-30,NA,NA,.00,.00,.00,.00
1984, RM 30-40,2,9072.00,142.00,140.00,137.00,105.00
1984, RM 40-50,2,3900.00,23.00,23.00,23.00,23.00
1984, RM 50-61.5,3,18150.00,250.00,246.00,229.00,189.00
1984, RM 61.5-65.7,2,3930.00,29.00,27.00,25.00,25.00
1984, RM 65.7-76.3,4,4026.00,30.00,18.00,11.00,11.00
1985, RM < 0,6,79200.00,2207.00,2172.00,1880.00,1311.00
1985, RM  0-10,2,10980.00,100.00,99.00,90.00,55.00
1985, RM 10-20,2,29880.00,524.00,516.00,474.00,361.00
1985, RM 20-30,2,9960.00,45.00,45.00,45.00,45.00
1985, RM 30-40,2,25980.00,519.00,519.00,492.00,435.00
1985, RM 40-50,1,13740.00,61.00,61.00,61.00,54.00
1985, RM 50-61.5,4,50580.00,1025.00,1024.00,991.00,862.00
1985, RM 61.5-65.7,1,10080.00,37.00,35.00,33.00,22.00
1985, RM 65.7-76.3,1,24240.00,159.00,157.00,137.00,89.00
1986, RM < 0,5,38700.00,1209.00,1202.00,1023.00,882.00
1986, RM  0-10,2,1620.00,45.00,45.00,45.00,44.00
1986, RM 10-20,2,14700.00,176.00,176.00,168.00,145.00
1986, RM 20-30,2,5820.00,72.00,72.00,72.00,65.00
1986, RM 30-40,1,5880.00,140.00,139.00,138.00,128.00
1986, RM 40-50,2,9300.00,31.00,31.00,31.00,25.00
1986, RM 50-61.5,5,28080.00,857.00,855.00,851.00,785.00
1986, RM 61.5-65.7,1,3420.00,14.00,14.00,14.00,14.00
1986, RM 65.7-76.3,1,5640.00,32.00,32.00,32.00,29.00
1987, RM < 0,3,7200.00,661.00,660.00,592.00,321.00
1987, RM  0-10,NA,NA,.00,.00,.00,.00
1987, RM 10-20,NA,NA,.00,.00,.00,.00
1987, RM 20-30,NA,NA,.00,.00,.00,.00
1987, RM 30-40,NA,NA,.00,.00,.00,.00
1987, RM 40-50,NA,NA,.00,.00,.00,.00
1987, RM 50-61.5,NA,NA,.00,.00,.00,.00
1987, RM 61.5-65.7,NA,NA,.00,.00,.00,.00
1987, RM 65.7-76.3,NA,NA,.00,.00,.00,.00
1988, RM < 0,19,78300.00,4306.00,4291.00,4080.00,3616.00
1988, RM  0-10,NA,NA,.00,.00,.00,.00
1988, RM 10-20,NA,NA,.00,.00,.00,.00
1988, RM 20-30,NA,NA,.00,.00,.00,.00
1988, RM 30-40,NA,NA,.00,.00,.00,.00
1988, RM 40-50,NA,NA,.00,.00,.00,.00
1988, RM 50-61.5,NA,NA,.00,.00,.00,.00
1988, RM 61.5-65.7,NA,NA,.00,.00,.00,.00
1988, RM 65.7-76.3,NA,NA,.00,.00,.00,.00
1989, RM < 0,5,8760.00,359.00,356.00,349.00,329.00
1989, RM  0-10,NA,NA,.00,.00,.00,.00
1989, RM 10-20,NA,NA,.00,.00,.00,.00
1989, RM 20-30,NA,NA,.00,.00,.00,.00
1989, RM 30-40,NA,NA,.00,.00,.00,.00
1989, RM 40-50,NA,NA,.00,.00,.00,.00
1989, RM 50-61.5,NA,NA,.00,.00,.00,.00
1989, RM 61.5-65.7,NA,NA,.00,.00,.00,.00
1989, RM 65.7-76.3,NA,NA,.00,.00,.00,.00
1990, RM < 0,8,30990.00,1399.00,1397.00,1339.00,1260.00
1990, RM  0-10,NA,NA,.00,.00,.00,.00
1990, RM 10-20,NA,NA,.00,.00,.00,.00
1990, RM 20-30,NA,NA,.00,.00,.00,.00
1990, RM 30-40,NA,NA,.00,.00,.00,.00
1990, RM 40-50,NA,NA,.00,.00,.00,.00
1990, RM 50-61.5,3,4684.00,42.00,42.00,39.00,35.00
1990, RM 61.5-65.7,6,11865.00,101.00,99.00,94.00,92.00
1990, RM 65.7-76.3,4,7257.00,57.00,56.00,51.00,51.00
1991, RM < 0,12,69000.00,2267.00,2187.00,1857.00,1734.00
1991, RM  0-10,NA,NA,.00,.00,.00,.00
1991, RM 10-20,NA,NA,.00,.00,.00,.00
1991, RM 20-30,NA,NA,.00,.00,.00,.00
1991, RM 30-40,NA,NA,.00,.00,.00,.00
1991, RM 40-50,NA,NA,.00,.00,.00,.00
1991, RM 50-61.5,25,127499.00,1219.00,1195.00,1110.00,881.00
1991, RM 61.5-65.7,18,88194.00,691.00,452.00,342.00,264.00
1991, RM 65.7-76.3,6,14366.00,69.00,53.00,42.00,23.00
1992, RM < 0,14,121810.00,2900.00,2514.00,1592.00,1367.00
1992, RM  0-10,NA,NA,.00,.00,.00,.00
1992, RM 10-20,NA,NA,.00,.00,.00,.00
1992, RM 20-30,3,2008.00,34.00,34.00,33.00,29.00
1992, RM 30-40,2,3332.00,20.00,20.00,20.00,17.00
1992, RM 40-50,NA,NA,.00,.00,.00,.00
1992, RM 50-61.5,24,141701.00,1001.00,972.00,883.00,716.00
1992, RM 61.5-65.7,21,111559.00,553.00,259.00,127.00,83.00
1992, RM 65.7-76.3,7,32761.00,198.00,134.00,105.00,92.00
1993, RM < 0,12,94037.00,2134.00,1695.00,744.00,554.00
1993, RM  0-10,6,15676.00,221.00,167.00,121.00,95.00
1993, RM 10-20,8,30860.00,403.00,374.00,306.00,224.00
1993, RM 20-30,4,20531.00,170.00,162.00,142.00,119.00
1993, RM 30-40,10,36437.00,492.00,470.00,406.00,321.00
1993, RM 40-50,6,4343.00,65.00,65.00,63.00,47.00
1993, RM 50-61.5,21,112235.00,913.00,763.00,646.00,524.00
1993, RM 61.5-65.7,20,124525.00,1205.00,293.00,175.00,130.00
1993, RM 65.7-76.3,23,74470.00,832.00,196.00,125.00,100.00
1994, RM < 0,16,93114.00,3541.00,3106.00,1383.00,854.00
1994, RM  0-10,NA,NA,.00,.00,.00,.00
1994, RM 10-20,NA,NA,.00,.00,.00,.00
1994, RM 20-30,NA,NA,.00,.00,.00,.00
1994, RM 30-40,16,10406.00,91.00,54.00,49.00,37.00
1994, RM 40-50,NA,NA,.00,.00,.00,.00
1994, RM 50-61.5,2,1029.00,6.00,2.00,2.00,1.00
1994, RM 61.5-65.7,18,11820.00,133.00,25.00,12.00,10.00
1994, RM 65.7-76.3,31,19495.00,243.00,80.00,62.00,51.00
1995, RM < 0,15,63253.00,2896.00,2494.00,1067.00,733.00
1995, RM  0-10,3,4430.00,104.00,48.00,38.00,35.00
1995, RM 10-20,NA,NA,.00,.00,.00,.00
1995, RM 20-30,1,314.00,6.00,6.00,4.00,4.00
1995, RM 30-40,2,3347.00,83.00,78.00,76.00,59.00
1995, RM 40-50,4,4220.00,35.00,27.00,23.00,15.00
1995, RM 50-61.5,1,682.00,5.00,4.00,4.00,4.00
1995, RM 61.5-65.7,27,68266.00,715.00,150.00,95.00,69.00
1995, RM 65.7-76.3,20,29157.00,380.00,65.00,49.00,36.00
1996, RM < 0,13,105337.00,5201.00,4604.00,2706.00,1783.00
1996, RM  0-10,3,12101.00,614.00,598.00,357.00,230.00
1996, RM 10-20,NA,NA,.00,.00,.00,.00
1996, RM 20-30,1,737.00,15.00,15.00,14.00,10.00
1996, RM 30-40,1,407.00,8.00,7.00,7.00,5.00
1996, RM 40-50,NA,NA,.00,.00,.00,.00
1996, RM 50-61.5,1,350.00,4.00,1.00,1.00,.00
1996, RM 61.5-65.7,14,21815.71,200.00,145.00,131.00,107.00
1996, RM 65.7-76.3,9,15591.43,174.00,99.00,85.00,72.00
1997, RM < 0,7,49458.00,3960.00,3042.00,1929.00,1490.00
1997, RM  0-10,NA,NA,.00,.00,.00,.00
1997, RM 10-20,NA,NA,.00,.00,.00,.00
1997, RM 20-30,1,171.00,6.00,6.00,6.00,6.00
1997, RM 30-40,4,3201.00,78.00,69.00,68.00,62.00
1997, RM 40-50,NA,NA,.00,.00,.00,.00
1997, RM 50-61.5,1,791.00,2.00,1.00,1.00,1.00
1997, RM 61.5-65.7,22,27236.65,383.00,197.00,181.00,125.00
1997, RM 65.7-76.3,5,7848.03,68.00,54.00,49.00,39.00
1998, RM < 0,9,51894.00,3821.00,3513.00,2144.00,1454.00
1998, RM  0-10,NA,NA,.00,.00,.00,.00
1998, RM 10-20,NA,NA,.00,.00,.00,.00
1998, RM 20-30,NA,NA,.00,.00,.00,.00
1998, RM 30-40,1,218.00,4.00,1.00,1.00,1.00
1998, RM 40-50,NA,NA,.00,.00,.00,.00
1998, RM 50-61.5,6,7915.00,136.00,129.00,127.00,92.00
1998, RM 61.5-65.7,9,12847.00,161.00,62.00,45.00,33.00
1998, RM 65.7-76.3,4,2124.00,46.00,11.00,6.00,4.00
1999, RM < 0,8,56179.00,3177.00,2670.00,1959.00,1107.00
1999, RM  0-10,NA,NA,.00,.00,.00,.00
1999, RM 10-20,NA,NA,.00,.00,.00,.00
1999, RM 20-30,NA,NA,.00,.00,.00,.00
1999, RM 30-40,3,1488.00,64.00,62.00,58.00,36.00
1999, RM 40-50,NA,NA,.00,.00,.00,.00
1999, RM 50-61.5,3,2991.00,49.00,48.00,44.00,30.00
1999, RM 61.5-65.7,12,21127.00,264.00,216.00,181.00,123.00
1999, RM 65.7-76.3,3,8403.00,100.00,80.00,71.00,51.00
2000, RM < 0,9,65744.00,5056.00,3759.00,2647.00,1597.00
2000, RM  0-10,2,1295.00,34.00,32.00,24.00,14.00
2000, RM 10-20,4,2903.00,155.00,150.00,146.00,103.00
2000, RM 20-30,12,12281.00,367.00,364.00,340.00,178.00
2000, RM 30-40,7,16941.00,595.00,590.00,568.00,287.00
2000, RM 40-50,11,6846.00,125.00,122.00,116.00,52.00
2000, RM 50-61.5,32,36090.00,1031.00,1021.00,997.00,532.00
2000, RM 61.5-65.7,13,46965.00,758.00,737.00,694.00,387.00
2000, RM 65.7-76.3,9,29866.00,667.00,644.00,599.00,437.00
2001, RM < 0,57,94415.00,6886.00,5856.00,2643.00,1544.00
